Site,N. dates,N. dates with replicates combined
Ceibal,140,124
Uxbenka,104,69
Cahal Pech,101,97
Tikal,89,69
Cuello,64,59
Mayapan,36,34
Lamanai,34,29
Minanha,33,32
Chechem Ha Cave,32,23
Chan,31,31
Xkipché,27,18
Chac II,23,23
Nakbe,22,22
Pacbitun,22,22
Colhá,21,21
Caracol,18,17
T'isil,18,18
Blackman Eddy,17,14
Buenavista del Cayo,17,14
El Gigante,17,16
Quirigua,17,17
Santa Rita Corozal,17,15
Xcoch,17,17
K'axob,16,16
Copan,15,12
Actun Halal,14,14
Xunantunich,13,13
Actuncan,12,12
Baking Pot,12,12
Cerros,12,12
Ek Xux,11,9
Puerto Escondido,11,11
Uxmal,11,8
Altar de Sacrificios,10,10
Chichen Itza,10,7
Laguna de On,10,9
Palenque,10,10
San Bartolo,10,10
Caobal,9,9
Kayuko Naj Tunich,9,9
Punta de Chimino,9,9
Actun Uayazba Kab,8,7
Port Honduras,8,5
San Lorenzo,8,8
Ceren,7,4
Dzibilchaltún,7,7
Ka'Kabish,7,4
Aguateca,6,6
Chan Cahal,6,6
Becan,5,5
El Perú-Waka',5,5
Isla Cerritos,5,5
Los Naranjos,5,4
Xuenkal,5,4
Zacpeten,5,5
Balankanche,4,2
Barton Ramie,4,4
Buenavista-Nuevo San Jose,4,4
Caye Coco,4,3
Ek Balam,4,4
Kaq’ru’ Ha’,4,4
Lower Barton Creek,4,3
Naj Tunich,4,3
Aguacatal,3,3
Chan Chen,3,3
Chicanna,3,2
Hats Kaab,3,3
Isla Cancún,3,3
San Felipe,3,3
Topoxte,3,2
Actun Tunichil Muknal,2,1
Calakmul,2,2
Caledonia,2,2
Chaa Creek,2,2
Dos Aguadas,2,1
El Naranjal,2,1
Holmul,2,1
La Canteada,2,2
Ladyville,2,1
Las Ruinas de Arenal,2,2
Mayahak Kab Pek,2,2
Nixtun-Ch’ich’,2,1
San Estevan,2,2
San Gervasio,2,2
Sayil,2,2
Sta Rosa,2,2
Uaxactun,2,2
Yaxuna,2,1
Altun Ha,1,1
Aventura,1,1
Cenote,1,1
Chabil Eke Ukal,1,1
Chabil Ukal,1,1
Chiapas/N Yucatan,1,1
Chinkultic,1,1
Chunchucmil,1,1
El Tigre,1,1
Holtun,1,1
Huntichmul,1,1
Kabah,1,1
Kabil Sakunak,1,1
Kinal,1,1
Las Cuevas,1,1
Las Quebradas,1,1
Macanche,1,1
Mexico/Guatemala,1,1
Mohibal Kanchi,1,1
Nohmul,1,1
Patchchacan,1,1
Pohtzil Kab Pek,1,1
Rio Frio Cave,1,1
Saki Tzul,1,1
San Jose,1,1
Tiger Bay Cave,1,1
Toqbil Roqikal,1,1
Tulum,1,1
