Site,Age BP,Error
Actun Halal,1720,50
Actun Halal,2410,60
Actun Halal,2490,50
Actun Halal,2695,20
Actun Halal,2890,25
Actun Halal,3080,50
Actun Halal,3220,25
Actun Halal,3380,20
Actun Halal,3425,20
Actun Halal,3580,50
Actun Halal,3715,25
Actun Halal,3800,50
Actun Halal,5265,25
Actun Halal,5380,50
Actun Tunichil Muknal,1196.2677678343714,22.248137117852675
Actun Uayazba Kab,1200,15
Actun Uayazba Kab,1250.0875891147139,14.154537688336964
Actun Uayazba Kab,1915,15
Actun Uayazba Kab,2010,15
Actun Uayazba Kab,2055,15
Actun Uayazba Kab,2065,15
Actun Uayazba Kab,2075,15
Actuncan,1175,60
Actuncan,1870,15
Actuncan,2060,25
Actuncan,2105,20
Actuncan,2120,20
Actuncan,2200,20
Actuncan,2210,20
Actuncan,2235,20
Actuncan,2405,20
Actuncan,2835,20
Actuncan,2895,15
Actuncan,2985,15
Aguacatal,1212,170
Aguacatal,1645,140
Aguacatal,1695,200
Aguateca,1190,35
Aguateca,1275,60
Aguateca,1275,40
Aguateca,1300,35
Aguateca,1330,35
Aguateca,2120,60
Altar de Sacrificios,1275,115
Altar de Sacrificios,1690,155
Altar de Sacrificios,1845,110
Altar de Sacrificios,1965,225
Altar de Sacrificios,2195,164
Altar de Sacrificios,2245,125
Altar de Sacrificios,2450,120
Altar de Sacrificios,2695,185
Altar de Sacrificios,2725,80
Altar de Sacrificios,2830,130
Altun Ha,1544,62
Aventura,680,80
Baking Pot,565,20
Baking Pot,650,20
Baking Pot,650,20
Baking Pot,1305,25
Baking Pot,1315,20
Baking Pot,1325,20
Baking Pot,1330,20
Baking Pot,1335,25
Baking Pot,1510,20
Baking Pot,1805,25
Baking Pot,1945,20
Baking Pot,2290,20
Balankanche,1030.637978905934,41.301706513165286
Balankanche,1073.1778476437644,49.36037515340942
Barton Ramie,3200,110
Barton Ramie,3414,131
Barton Ramie,4016,118
Barton Ramie,4155,153
Becan,1230,95
Becan,1280,95
Becan,1295,95
Becan,1345,95
Becan,1830,95
Blackman Eddy,2240.034447224425,23.182250927549035
Blackman Eddy,2340,60
Blackman Eddy,2380,40
Blackman Eddy,2400,40
Blackman Eddy,2420,40
Blackman Eddy,2430,40
Blackman Eddy,2450,40
Blackman Eddy,2460,40
Blackman Eddy,2475.4525626106392,38.40661022802029
Blackman Eddy,2480,50
Blackman Eddy,2730,50
Blackman Eddy,2750,40
Blackman Eddy,2800,40
Blackman Eddy,2990,60
Buenavista del Cayo,1180,50
Buenavista del Cayo,1220,30
Buenavista del Cayo,1240,30
Buenavista del Cayo,1250,30
Buenavista del Cayo,1270,30
Buenavista del Cayo,1280,30
Buenavista del Cayo,1300,60
Buenavista del Cayo,1310,30
Buenavista del Cayo,1320,30
Buenavista del Cayo,1332.1985866159996,20.042625706628577
Buenavista del Cayo,1400,50
Buenavista del Cayo,1500,50
Buenavista del Cayo,1690,50
Buenavista del Cayo,1710.5646920668016,38.391052752610825
Buenavista-Nuevo San Jose,2449,34
Buenavista-Nuevo San Jose,2467,35
Buenavista-Nuevo San Jose,2493,34
Buenavista-Nuevo San Jose,2500,35
Cahal Pech,190,15
Cahal Pech,1175,20
Cahal Pech,1180,15
Cahal Pech,1215,15
Cahal Pech,1225,15
Cahal Pech,1230,15
Cahal Pech,1235,15
Cahal Pech,1235,20
Cahal Pech,1240,15
Cahal Pech,1245,20
Cahal Pech,1255,15
Cahal Pech,1270,20
Cahal Pech,1280,25
Cahal Pech,1285,20
Cahal Pech,1300,15
Cahal Pech,1310,15
Cahal Pech,1315,15
Cahal Pech,1320,15
Cahal Pech,1325,15
Cahal Pech,1335,20
Cahal Pech,1336,46
Cahal Pech,1345,20
Cahal Pech,1365,15
Cahal Pech,1415,25
Cahal Pech,1415,15
Cahal Pech,1415,20
Cahal Pech,1415,15
Cahal Pech,1425,15
Cahal Pech,1432,46
Cahal Pech,1432,31
Cahal Pech,1440,20
Cahal Pech,1465,20
Cahal Pech,1470,15
Cahal Pech,1490,20
Cahal Pech,1505,20
Cahal Pech,1515,20
Cahal Pech,1515,15
Cahal Pech,1516,39
Cahal Pech,1516,59
Cahal Pech,1520,15
Cahal Pech,1525,20
Cahal Pech,1545,15
Cahal Pech,1545,15
Cahal Pech,1550,15
Cahal Pech,1555,15
Cahal Pech,1565,15
Cahal Pech,1580,15
Cahal Pech,1590,15
Cahal Pech,1595,15
Cahal Pech,1610,20
Cahal Pech,1748,47
Cahal Pech,1748,59
Cahal Pech,1765,15
Cahal Pech,1770,15
Cahal Pech,1772.4869364238152,10.609714738860772
Cahal Pech,1790,20
Cahal Pech,1860,20
Cahal Pech,1877.4958710769554,10.592257528804236
Cahal Pech,1880,15
Cahal Pech,1920,15
Cahal Pech,1935,25
Cahal Pech,1950,200
Cahal Pech,2020,140
