Site,Adaptive Region,Provenience,Context,Material,Lab No.,Conventional 14C age (BP),Error (±),2-σ calibrated from,2-σ calibrated to,Dating Method,Duplicate/Replicate,Chronometric Hygiene/ Issues with Dates,Citation
Actun Halal,Belize Valley,EU 4XTN Lvl 7,Rockshelter,Charocal (Pinus Sp.),PSUAMS-5869,1720,50,145,425,AMS,NA,NA,Ebert and Awe 2020
Actun Halal,Belize Valley,"Area A, 49cm b.s.",Rockshelter,Charcoal,Beta-221899,2410,60,-760,-395,AMS,NA,NA,Lohse 2009: Table 1
Actun Halal,Belize Valley,EU 4 Lvl 5,Rockshelter,Zea Mays Kernel,PSUAMS-5868,2490,50,-790,-430,AMS,NA,NA,Ebert and Awe 2020
Actun Halal,Belize Valley,"N97.1E118.2, 97.17 cmbd",Rockshelter,Charcoal,PLD-28979,2695,20,-900,-805,AMS,NA,NA,Lohse n.d.
Actun Halal,Belize Valley,"N97.32E119.82, 97.41 cmbd",Rockshelter,Charcoal,PLD-28975,2890,25,-1195,-995,AMS,NA,NA,Lohse n.d.
Actun Halal,Belize Valley,"Area B, 37cm b.s.",Rockshelter,Charcoal,Beta-221895,3080,50,-1450,-1210,AMS,NA,NA,Lohse 2009: Table 1
Actun Halal,Belize Valley,"N97.64E119.42, 97.33 cmbd",Rockshelter,Charcoal,PLD-28976,3220,25,-1595,-1430,AMS,NA,NA,Lohse n.d.
Actun Halal,Belize Valley,"N97.25E119.2, 97.16 cmbd",Rockshelter,Charcoal,PLD-28977,3380,20,-1740,-1625,AMS,NA,NA,Lohse n.d.
Actun Halal,Belize Valley,"N97E119, 97.2-97.15 cmbd",Rockshelter,Charcoal,PLD-28978,3425,20,-1865,-1660,AMS,NA,NA,Lohse n.d.
Actun Halal,Belize Valley,"Area B, 60cm b.s.",Rockshelter,Charcoal,Beta-221898,3580,50,-2120,-1765,AMS,NA,NA,Lohse 2009: Table 1
Actun Halal,Belize Valley,"N97.41E118.27, 97.13 cmbd",Rockshelter,Charcoal,PLD-28980,3715,25,-2200,-2030,AMS,NA,NA,Lohse n.d.
Actun Halal,Belize Valley,"Area B, 64cm b.s.",Rockshelter,Charcoal,Beta-221896,3800,50,-2460,-2050,AMS,NA,NA,Lohse 2009: Table 1
Actun Halal,Belize Valley,"N97E119, 97.05-97.00 cmbd",Rockshelter,Charcoal,PLD-28981,5265,25,-4230,-3990,AMS,NA,NA,Lohse n.d.
Actun Halal,Belize Valley,"Area B, 81cm b.s.",Rockshelter,Charcoal,Beta-221897,5380,50,-4340,-4055,AMS,NA,NA,Lohse 2009: Table 1
Actun Tunichil Muknal,Belize Valley,Main Chamber,Cave,Charcoal,AA57316,1191,31,720,945,AMS,R1,NA,Awe and Helmke 2007
Actun Tunichil Muknal,Belize Valley,Main Chamber,Cave,Charcoal,AA57315,1202,32,695,945,AMS,R1,NA,Awe and Helmke 2007
